X,Y,COMMUNITY,RATING,DATE_RISK,COMMID,COMMTYPE,FPZONE,FMZONE,LGA,ALCOUNCIL,POPULATION,MUNSPROV,MUNSTYPE,FUELREDUC,FIREBREAK,FIREPLAN,LATITUDE,LONGITUDE
134.75934,-20.40628,10 Mile,Low,2020/06/30,"1022",Family Outstation,No,Barkly,Barkly Regional Council,Central Land Council,"12",Far Northern Contractors Pty Ltd  ( T & J Contractors ),Private Enterprise,Yes,Yes,No,-20.406279999999999,134.759340000000009
132.37658,-22.466667,10 Mile Outstation,Low,2020/06/30,"1004",Family Outstation,No,Alice Springs,Central Desert Regional Council,Central Land Council,"2",Central Desert Regional Council,Local Government Association,Yes,Yes,No,-22.466667000000001,132.376579999999990
133.83248,-23.45764,16 Mile Camp,Low,2020/06/30,"783",Family Outstation,Yes,Alice Springs,MacDonnell Regional Council,Central Land Council,"20",Ingkerreke Outstations Resource Services Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,Yes,-23.457640000000001,133.832480000000004
136.54826,-16.08535,20 Mile,High,2020/06/30,"24993",Family Outstation,No,Savanna,Roper Gulf Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-16.085349999999998,136.548259999999999
130.59548,-11.77798,4 Mile Camp,Moderate,2020/06/30,"1006",Family Outstation,No,ERA,Tiwi Islands Regional Council,Tiwi Land Council,"8",Tiwi Islands Regional Council,Local Government Association,Yes,Yes,No,-11.777979999999999,130.595480000000009
131.98296,-23.23265,5 Mile Bore,Low,2020/06/30,"759",Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,"27",MacDonnell Regional Council,Local Government Association,Yes,Yes,No,-23.232650000000000,131.982959999999991
131.1715,-12.8142,Acacia Larrakia,Moderate,2020/06/30,"279",Family Outstation,Yes,Vernon Arafura,Litchfield Council,Northern Land Council,"34",Yilli Rreung Housing Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-12.814200000000000,131.171500000000009
131.97531,-11.24167,Adbanae,High,2020/06/30,"979",Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-11.241669999999999,131.975310000000007
133.93607,-22.21485,Adelaide Bore,Low,2020/06/30,"1",Family Outstation,No,Alice Springs,Central Desert Regional Council,Central Land Council,"15",Central Desert Regional Council,Local Government Association,Yes,Yes,No,-22.214849999999998,133.936070000000001
132.47559,-11.15182,Adjamarragu,Moderate,2020/06/30,"895",Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-11.151820000000001,132.475590000000011
136.19361,-23.05992,Akarnenehe Well,Moderate,2020/06/30,"787",Family Outstation,No,Alice Springs,Central Desert Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-23.059920000000002,136.193610000000007
133.8612,-23.6928,Akngwertnarre,Low,2020/06/30,"3",Town Camp,No,ERA,Alice Springs Town Council,Central Land Council,"44",Ingkerreke Outstations Resource Services Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,Yes,-23.692799999999998,133.861199999999997
136.77866,-13.86346,Akwalirrumanja,Moderate,2020/06/30,"959",Family Outstation,No,Arnhem,East Arnhem Regional Council,Anindilyakwa Land Council,"13",GEBIE Civil and Construction Pty Ltd,Private Enterprise,Yes,Yes,No,-13.863460000000000,136.778660000000002
132.52835,-11.06745,Alamirra,Low,2020/06/30,"280",Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,"2",Demed Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-11.067449999999999,132.528349999999989
134.21897,-23.09733,Alatyeye,Moderate,2020/06/30,"693",Family Outstation,No,Alice Springs,Central Desert Regional Council,Central Land Council,"7",Central Desert Regional Council,Local Government Association,Yes,Yes,No,-23.097329999999999,134.218970000000013
136.05261,-13.67507,Alharrgan,Low,2020/06/30,"441",Family Outstation,No,Arnhem,Roper Gulf Regional Council,Northern Land Council,"9",Numbulwar Homelands Council Association Inc,Aboriginal Corporation,Yes,Yes,No,-13.675070000000000,136.052609999999987
134.40694,-21.003334,Ali Curung,Moderate,2020/06/30,"202",Major,No,Alice Springs,Barkly Regional Council,Central Land Council,"580",Barkly Regional Council,Local Government Association,Yes,Yes,No,-21.003333999999999,134.406939999999992
134.22962,-24.88123,Alice Well,Moderate,2020/06/30,"852",Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,"2",MacDonnell Regional Council,Local Government Association,Yes,Yes,No,-24.881229999999999,134.229620000000011
131.82924,-23.27356,Alkipi,Moderate,2020/06/30,"4",Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-23.273560000000000,131.829239999999999
132.46233,-23.95602,Alkngarriintja,Low,2020/06/30,"769",Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,"10",Tjuwanpa Outstation Resource Centre Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-23.956019999999999,132.462330000000009
133.69436,-23.06533,Alkuptija,Low,2020/06/30,"714",Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,"24",Ingkerreke Outstations Resource Services Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,Yes,-23.065329999999999,133.694359999999989
131.21242,-25.91526,Alpara,Moderate,2020/06/30,"7",Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-25.915260000000000,131.212420000000009
